wiki,article_count
abwiki,6046
acewiki,12723
adywiki,460
afwiki,107126
akwiki,610
alswiki,29681
altwiki,1055
amiwiki,817
amwiki,15185
angwiki,3858
anpwiki,1271
anwiki,43599
arcwiki,1885
arwiki,1203410
arywiki,6521
arzwiki,1617120
astwiki,131997
aswiki,11367
atjwiki,1949
avkwiki,26931
avwiki,3330
awawiki,2436
aywiki,5034
azbwiki,242929
azwiki,192959
banwiki,18067
barwiki,26899
bat_smgwiki,17155
bawiki,62264
bclwiki,13441
be_x_oldwiki,81919
bewiki,229686
bgwiki,289539
bhwiki,8285
biwiki,1408
bjnwiki,10265
blkwiki,2258
bmwiki,789
bnwiki,136301
bowiki,6249
bpywiki,25087
brwiki,78718
bswiki,91576
bugwiki,15823
bxrwiki,2772
cawiki,723892
cbk_zamwiki,3128
cdowiki,15829
cebwiki,6123643
cewiki,561495
chrwiki,1053
chwiki,546
chywiki,696
ckbwiki,48738
cowiki,6525
crhwiki,23460
crwiki,161
csbwiki,5450
cswiki,521279
cuwiki,1194
cvwiki,50883
cywiki,278550
dagwiki,6492
dawiki,289991
dewiki,2784546
dinwiki,307
diqwiki,40341
dsbwiki,3335
dtywiki,3322
dvwiki,3024
dzwiki,237
eewiki,818
elwiki,218290
emlwiki,13030
enwiki,6633878
eowiki,333133
eswiki,1848615
etwiki,234798
euwiki,408718
extwiki,3377
fawiki,956088
ffwiki,736
fiu_vrowiki,6430
fiwiki,549490
fjwiki,1277
fowiki,13882
frpwiki,5666
frrwiki,17118
frwiki,2507405
furwiki,3837
fywiki,51030
gagwiki,2803
ganwiki,6591
gawiki,58338
gcrwiki,1058
gdwiki,15869
glkwiki,6809
glwiki,195366
gnwiki,5175
gomwiki,3570
gorwiki,13892
gotwiki,873
gucwiki,471
gurwiki,197
guwiki,30092
guwwiki,1198
gvwiki,5875
hakwiki,10045
hawiki,23052
hawwiki,2492
hewiki,331970
hifwiki,10484
hiwiki,155858
hrwiki,214200
hsbwiki,13881
htwiki,68336
huwiki,522065
hywiki,296089
hywwiki,10570
iawiki,29169
idwiki,641673
iewiki,11544
igwiki,13525
ikwiki,503
ilowiki,15374
inhwiki,2151
iowiki,37066
iswiki,56178
itwiki,1803353
iuwiki,451
jamwiki,1702
jawiki,1367454
jbowiki,1317
jvwiki,72436
kaawiki,3206
kabwiki,6670
kawiki,166450
kbdwiki,1596
kbpwiki,1697
kcgwiki,621
kgwiki,1262
kiwiki,1504
kkwiki,233026
klwiki,242
kmwiki,10027
knwiki,29807
koiwiki,3451
kowiki,629347
krcwiki,2061
kshwiki,2940
kswiki,2738
kuwiki,59025
kvwiki,5501
kwwiki,6960
kywiki,80402
ladwiki,3625
lawiki,137612
lbewiki,1264
lbwiki,61590
lezwiki,4318
lfnwiki,4195
lgwiki,2575
lijwiki,11115
liwiki,14268
lldwiki,130177
lmowiki,57027
lnwiki,3321
lowiki,3965
ltgwiki,1040
ltwiki,209064
lvwiki,118953
madwiki,1003
maiwiki,13728
map_bmswiki,13821
mdfwiki,2873
mgwiki,95417
mhrwiki,10716
minwiki,226527
miwiki,7785
mkwiki,134751
mlwiki,83280
mniwiki,10166
mnwiki,21925
mnwwiki,1730
mrjwiki,10428
mrwiki,90886
mswiki,363957
mtwiki,5233
mwlwiki,3958
myvwiki,7785
mywiki,106274
mznwiki,13632
nahwiki,7512
napwiki,14776
nawiki,1670
nds_nlwiki,7635
ndswiki,84168
newiki,31369
newwiki,72348
niawiki,1569
nlwiki,2119062
nnwiki,164531
nostalgiawiki,23616
novwiki,1529
nowiki,608016
nqowiki,1458
nrmwiki,4834
nsowiki,8545
nvwiki,21798
nywiki,1021
ocwiki,88450
olowiki,4088
omwiki,1242
orwiki,16558
oswiki,16913
pagwiki,2502
pamwiki,8879
papwiki,3139
pawiki,43261
pcdwiki,5510
pcmwiki,592
pdcwiki,1992
pflwiki,2741
pihwiki,895
piwiki,2546
plwiki,1561219
pmswiki,67754
pnbwiki,67805
pntwiki,486
pswiki,17371
ptwiki,1103046
pwnwiki,325
quwiki,23355
rmwiki,3757
rmywiki,794
rnwiki,627
roa_rupwiki,1290
roa_tarawiki,9315
rowiki,437463
ruewiki,8626
ruwiki,1902817
rwwiki,5111
sahwiki,16302
satwiki,8143
sawiki,11969
scnwiki,26241
scowiki,36140
scwiki,7380
sdwiki,15347
sewiki,7838
sgwiki,316
shiwiki,1340
shnwiki,12720
shwiki,457886
simplewiki,228075
siwiki,18445
skrwiki,5681
skwiki,244153
slwiki,180399
smnwiki,5045
smwiki,1074
snwiki,10364
sowiki,9150
sqwiki,88761
srnwiki,1117
srwiki,669298
sswiki,635
stqwiki,4095
stwiki,905
suwiki,61398
svwiki,2559828
swwiki,76559
szlwiki,56782
szywiki,2502
tawiki,152996
taywiki,2423
tcywiki,1842
test2wiki,1486
testwiki,4654
tetwiki,1347
tewiki,81644
tgwiki,109413
thankyouwiki,1
thwiki,154649
tiwiki,254
tkwiki,6670
tlwiki,44236
tnwiki,1011
towiki,1948
tpiwiki,1359
trvwiki,1124
trwiki,515207
tswiki,721
ttwiki,483269
tumwiki,9577
twwiki,2648
tyvwiki,3393
tywiki,1196
udmwiki,5518
ugwiki,5629
ukwiki,1252020
urwiki,187869
uzwiki,222251
vecwiki,69146
vepwiki,6759
vewiki,749
viwiki,1281953
vlswiki,7770
vowiki,33245
warwiki,1266083
wawiki,11745
wowiki,1649
wuuwiki,42788
xalwiki,2048
xhwiki,1275
xmfwiki,19911
yiwiki,15501
yowiki,32151
zawiki,2521
zeawiki,5667
zh_classicalwiki,12235
zh_min_nanwiki,432421
zh_yuewiki,130721
zhwiki,1342330
zuwiki,10895
